,country_code,country_name,year,co2_emissions,merge_id,male_death_rate,female_death_rate,cigarette_sales,land_area,Code,Year,smoking_prevalence
0,ARM,Armenia,1990.0,19850.0,ARM_1990,51.36,7.4,11.89999961853027,28470.0,,,
1,ARM,Armenia,1991.0,20690.0,ARM_1991,49.99,6.01,9.300000190734863,28470.0,,,
2,ARM,Armenia,1992.0,10900.0,ARM_1992,45.04,7.44,4.900000095367432,28470.0,,,
3,ARM,Armenia,1993.0,5040.0,ARM_1993,40.77,6.69,5.5,28470.0,,,
4,ARM,Armenia,1994.0,2740.0,ARM_1994,36.68,5.89,5.699999809265137,28470.0,,,
5,ARM,Armenia,1995.0,3510.0,ARM_1995,37.88,4.41,5.599999904632568,28470.0,,,
6,ARM,Armenia,1996.0,2580.0,ARM_1996,38.72,4.45,5.599999904632568,28470.0,,,
7,ARM,Armenia,1997.0,3340.0,ARM_1997,40.69,4.7,5.599999904632568,28470.0,,,
8,ARM,Armenia,1998.0,3470.0,ARM_1998,38.05,5.43,5.699999809265137,28470.0,,,
9,AUS,Australia,1960.0,88202.351,AUS_1960,29.56,3.87,9.100000381469728,7692020.0,,,
10,AUS,Australia,1961.0,90589.568,AUS_1961,32.45,4.0,9.0,7692020.0,,,
11,AUS,Australia,1962.0,94912.961,AUS_1962,34.74,4.33,8.800000190734863,7692020.0,,,
12,AUS,Australia,1963.0,101029.517,AUS_1963,35.97,4.39,8.699999809265137,7692020.0,,,
13,AUS,Australia,1964.0,108979.573,AUS_1964,38.51,4.94,8.800000190734863,7692020.0,,,
14,AUS,Australia,1965.0,120966.996,AUS_1965,39.41,4.74,8.699999809265137,7692020.0,,,
15,AUS,Australia,1966.0,120332.605,AUS_1966,41.74,5.02,8.899999618530273,7692020.0,,,
16,AUS,Australia,1967.0,129265.417,AUS_1967,43.59,5.74,8.5,7692020.0,,,
17,AUS,Australia,1968.0,134622.904,AUS_1968,45.0,5.74,8.800000190734863,7692020.0,,,
18,AUS,Australia,1969.0,142257.598,AUS_1969,46.75,5.66,8.899999618530273,7692020.0,,,
19,AUS,Australia,1970.0,147618.752,AUS_1970,47.79,7.18,9.100000381469728,7692020.0,,,
20,AUS,Australia,1971.0,152774.554,AUS_1971,49.28,7.53,8.899999618530273,7692020.0,,,
21,AUS,Australia,1972.0,157486.649,AUS_1972,50.06,7.13,9.199999809265137,7692020.0,,,
22,AUS,Australia,1973.0,170992.21,AUS_1973,51.24,7.82,9.399999618530272,7692020.0,,,
23,AUS,Australia,1974.0,172356.334,AUS_1974,53.83,7.69,10.0,7692020.0,,,
24,AUS,Australia,1975.0,175883.988,AUS_1975,52.37,7.85,9.699999809265137,7692020.0,,,
25,AUS,Australia,1976.0,174244.839,AUS_1976,53.83,8.58,9.100000381469728,7692020.0,,,
26,AUS,Australia,1977.0,187787.07,AUS_1977,52.72,9.83,9.800000190734863,7692020.0,,,
27,AUS,Australia,1978.0,202015.03,AUS_1978,53.22,9.97,9.600000381469728,7692020.0,,,
28,AUS,Australia,1979.0,205069.641,AUS_1979,53.81,10.3,9.399999618530272,7692020.0,,,
29,AUS,Australia,1980.0,220746.066,AUS_1980,56.21,10.8,9.699999809265137,7692020.0,,,
30,AUS,Australia,1981.0,230360.94,AUS_1981,55.47,10.46,9.300000190734863,7692020.0,,,
31,AUS,Australia,1982.0,234119.615,AUS_1982,55.42,11.55,8.899999618530273,7692020.0,,,
32,AUS,Australia,1983.0,225003.453,AUS_1983,54.51,12.47,8.399999618530273,7692020.0,,,
33,AUS,Australia,1984.0,236594.84,AUS_1984,54.62,12.4,8.199999809265137,7692020.0,,,
34,AUS,Australia,1985.0,241229.928,AUS_1985,53.78,12.65,8.100000381469727,7692020.0,,,
35,AUS,Australia,1986.0,239964.813,AUS_1986,51.02,13.17,8.100000381469727,7692020.0,,,
36,AUS,Australia,1987.0,256106.947,AUS_1987,51.36,12.54,7.599999904632568,7692020.0,,,
37,AUS,Australia,1988.0,261145.405,AUS_1988,51.19,14.1,7.599999904632568,7692020.0,,,
38,AUS,Australia,1989.0,277771.583,AUS_1989,51.27,14.49,7.599999904632568,7692020.0,,,
39,AUS,Australia,1990.0,263630.0,AUS_1990,47.27,14.06,7.599999904632568,7692020.0,,,
40,AUS,Australia,1991.0,264760.0,AUS_1991,46.67,15.03,7.300000190734863,7692020.0,,,
41,AUS,Australia,1992.0,268400.0,AUS_1992,46.68,14.37,7.300000190734863,7692020.0,,,
42,AUS,Australia,1993.0,273050.0,AUS_1993,44.42,14.97,6.599999904632568,7692020.0,,,
43,AUS,Australia,1994.0,280180.0,AUS_1994,46.23,15.3,6.400000095367432,7692020.0,,,
44,AUS,Australia,1995.0,290180.0,AUS_1995,43.14,15.36,6.300000190734863,7692020.0,,,
45,AUS,Australia,1996.0,300810.0,AUS_1996,42.99,15.54,5.599999904632568,7692020.0,,,
46,AUS,Australia,1997.0,307850.0,AUS_1997,40.69,15.43,5.599999904632568,7692020.0,,,
47,AUS,Australia,1998.0,328620.0,AUS_1998,40.3,14.88,5.400000095367432,7692020.0,,,
48,AUS,Australia,1999.0,333710.0,AUS_1999,38.52,14.9,5.099999904632568,7692020.0,,,
49,AUS,Australia,2000.0,339450.0,AUS_2000,36.98,15.79,4.900000095367432,7692020.0,AUS,2000.0,24.399999618530277
50,AUS,Australia,2001.0,345640.0,AUS_2001,36.33,15.88,4.5,7692020.0,,,
51,AUS,Australia,2002.0,353369.995117188,AUS_2002,35.51,16.34,4.300000190734863,7692020.0,,,
52,AUS,Australia,2003.0,352579.986572266,AUS_2003,33.0,15.52,4.5,7692020.0,,,
53,AUS,Australia,2004.0,365809.997558594,AUS_2004,33.92,15.49,4.300000190734863,7692020.0,,,
54,AUS,Australia,2006.0,375489.990234375,AUS_2006,32.46,16.22,4.099999904632568,7692020.0,,,
