country_code,country_name,year,co2_emissions,merge_id,male_death_rate,female_death_rate,cigarette_sales
ARM,Armenia,1990,19850.0,ARM_1990,51.36,7.4,11.89999961853027
ARM,Armenia,1991,20690.0,ARM_1991,49.99,6.01,9.300000190734863
ARM,Armenia,1992,10900.0,ARM_1992,45.04,7.44,4.900000095367432
ARM,Armenia,1993,5040.0,ARM_1993,40.77,6.69,5.5
ARM,Armenia,1994,2740.0,ARM_1994,36.68,5.89,5.699999809265137
ARM,Armenia,1995,3510.0,ARM_1995,37.88,4.41,5.599999904632568
ARM,Armenia,1996,2580.0,ARM_1996,38.72,4.45,5.599999904632568
ARM,Armenia,1997,3340.0,ARM_1997,40.69,4.7,5.599999904632568
ARM,Armenia,1998,3470.0,ARM_1998,38.05,5.43,5.699999809265137
AUS,Australia,1960,88202.351,AUS_1960,29.56,3.87,9.100000381469728
AUS,Australia,1961,90589.568,AUS_1961,32.45,4.0,9.0
AUS,Australia,1962,94912.961,AUS_1962,34.74,4.33,8.800000190734863
AUS,Australia,1963,101029.517,AUS_1963,35.97,4.39,8.699999809265137
AUS,Australia,1964,108979.573,AUS_1964,38.51,4.94,8.800000190734863
AUS,Australia,1965,120966.996,AUS_1965,39.41,4.74,8.699999809265137
AUS,Australia,1966,120332.605,AUS_1966,41.74,5.02,8.899999618530273
AUS,Australia,1967,129265.417,AUS_1967,43.59,5.74,8.5
AUS,Australia,1968,134622.904,AUS_1968,45.0,5.74,8.800000190734863
AUS,Australia,1969,142257.598,AUS_1969,46.75,5.66,8.899999618530273
AUS,Australia,1970,147618.752,AUS_1970,47.79,7.18,9.100000381469728
AUS,Australia,1971,152774.554,AUS_1971,49.28,7.53,8.899999618530273
AUS,Australia,1972,157486.649,AUS_1972,50.06,7.13,9.199999809265137
AUS,Australia,1973,170992.21,AUS_1973,51.24,7.82,9.399999618530272
AUS,Australia,1974,172356.334,AUS_1974,53.83,7.69,10.0
AUS,Australia,1975,175883.988,AUS_1975,52.37,7.85,9.699999809265137
AUS,Australia,1976,174244.839,AUS_1976,53.83,8.58,9.100000381469728
AUS,Australia,1977,187787.07,AUS_1977,52.72,9.83,9.800000190734863
AUS,Australia,1978,202015.03,AUS_1978,53.22,9.97,9.600000381469728
AUS,Australia,1979,205069.641,AUS_1979,53.81,10.3,9.399999618530272
